id,en,zh
save,Save,保存
cancel,Cancel,取消
confirm,Confirm,确认
delete,Delete,删除
edit,Edit,编辑
new,New,新建
search,Search,搜索
loading,Loading...,加载中...
error,Error,错误
success,Success,成功
retry,Retry,重试
back,Back,返回
settings,Settings,设置
ok,OK,确定
yes,Yes,是
no,No,否
document,Document,文档
category,Category,类目
knowledge_base,Knowledge Base,知识库
conversation,Conversation,对话
message,Message,消息
send,Send,发送
quiz,Quiz,测验
exam,Exam,考试
question,Question,题目
answer,Answer,答案
score,Score,分数
feedback,Feedback,反馈
single_choice,Single Choice,单选题
multiple_choice,Multiple Choice,多选题
true_false,True/False,判断题
fill_in_the_blank,Fill in the Blank,填空题
short_answer,Short Answer,简答题
reading,Reading,阅读
statistics,Statistics,统计
profile,Profile,个人中心
backup,Backup,备份
restore,Restore,恢复
webdav_not_configured,WebDAV not configured,WebDAV 未配置
json_parse_failed,JSON parse failed,JSON 解析失败
request_failed,Request failed,请求失败
api_rate_limited,API rate limited, please try again later,API 限流，请稍后重试
invalid_api_key,Invalid API Key,API Key 无效
service_unavailable,Service temporarily unavailable, please try again later,服务暂时不可用，请稍后重试
network_request_failed,Network request failed,网络请求失败
grading_failed,Grading failed,评分失败
grading_result_parsing_failed,Grading result parsing failed,评分解析失败
local_model_loading_failed,Local model loading failed,本地模型加载失败
local_model_not_loaded,Local model not loaded, please call loadModel() first,本地模型未加载，请先调用 loadModel()
embedding_generation_failed,Embedding generation failed,Embedding 生成失败
remote_template_format_error,Remote template format error,远程模板格式错误
remote_sync_failed,Remote sync failed,远程同步失败
download_failed,Download failed,下载失败
loading_failed,Loading failed,加载失败
daily_quiz,Daily Quiz,每日一测
today_quiz_ready,"Today's quiz is ready, tap to start",今日测验已准备好，点击开始答题
tap_to_start_answering,Tap to start answering,点击开始答题
local_import,Local import,本地导入
please_override_in_main_dart,Please override in main.dart,请在 main.dart 中覆盖
anthropic_embedding_not_supported,"Anthropic API does not support Embedding, please use OpenAI compatible interface",Anthropic API 不支持 Embedding，请使用 OpenAI 兼容接口
